canonical_id,question_number,section,marks,question_type,subject_discipline,has_or_choice,has_figure_or_table,papers_appeared_count,years_appeared,question_text,or_question_text
CBSE_SCI_2022_Q21_90Security,21,B,2,Short Answer (2 Marks),Chemistry,False,True,1,2022,"Uh WANTS H STF A Uh AN HM H FST SRW SA WS | Uh MAM Ms H ST ST Us GT Hie F Ue srftreant a fer SA are ards & sist Hrs F FM Tray ? 2+2
9o |<sup>|IIIMTNIIil</sup>
<!-- Start of picture text -->
|IIIMTNIIil<br><!-- End of picture text -->
<!-- Start of picture text -->
Page6<br><!-- End of picture text -->
4x2=8
##### SECTION ~~-~~ C
#### (Competency Based Questions)
Answer any 2 questions out of the given 3 questions.",
CBSE_SCI_2022_Q19_90Security,19,A,1,Assertion-Reason MCQ,General Science,False,False,1,2022,"As the security officer of your organisation, you have been assigned the task to prepare a evacuation plan to be used in case of emergency, to rescue and evacuate the affected people. What will your plan include ? 4",
CBSE_SCI_2022_Q20_90Security,20,A,1,Assertion-Reason MCQ,General Science,False,False,1,2022,You are a NCC Cadet and have undergone the training for firs ~~t-~~ aider. One day in middle of night your mother complaines of crushing chest pain due to an angina attack. What first aid you would give to your mother ? 4,
CBSE_SCI_2022_Q21_90Security,21,B,2,Short Answer (2 Marks),General Science,False,True,1,2022,"Asa security guard you are on duty on the main entrance of a government office. So as a security guard what will you check in the ID Card of a visitor coming to the office to visit an officer ? 4
Page 7
ah
<!-- Start of picture text -->
*<br><!-- End of picture text -->
*
so |<sup>MMVIII</sup>
Page 8",
CBSE_SCI_2023_Q01_3111Science,1,A,1,MCQ,General Science,False,True,1,2023,"dtr wratfires caaeen F Serr pet ot ae ora aT fee arisen 4 Sera the ol fares “X’ 4 varfed Bet we fererat “X’ geet sera et Star @ aA fat GTS SI STAT | Ny
ef ————— arate
fra fear rat ae fame ST sath Vert Hi US Hen 2 Fa THR - SX chicaaa Sssieass I acta facia & aa
- (a) afte 4 Baer act ares cgstizenss Ta & Hr ae clear al Ga e BK HS Ba & Vad Hleqay Hs M’e FAA H SRI Ae TE Sl Sez |
- (bo) dfeaan arate sad aren ae face afer at aie 8 Sik rea STestieass & aftr al varied ee a ae wee die Ssh Hehe sa UIT 2 WT Ve A etter= |
- (c) Wied Seatieass Hl vatfed He HRT ae facas “fers St Sa Sf TA Fah VATA ak afte te varfed oe OH ae Sifean ass Grate 4 ohatda at sat 2 a at A aerate& |
- (2) aftiiranr a fect pres srestieengs tra fers SSS Hare TA HRT PA Ut cpt eferen at ach S dea HS BA Vad Hess Hla! Ga HOT falcrad TS Sl Sal @, Fates Be UT A eater S |
###### 31/1/1
=e A te
1
<!-- Start of picture text -->
{0<br><!-- End of picture text -->
SECTION ~~-~~ A
Select and write one most appropriate option out of the four options given for each of the questions 1 ~~-~~ 20:",
CBSE_SCI_2023_Q01_3111Science,1,A,1,MCQ,Chemistry,False,True,1,2023,"In the experimental setup given below, it is observed that on passing the gas produced in the reaction in the solution ‘X’ the solution ‘X’ first turns milky and then colourless.
<!-- Start of picture text -->
Hydrochloric Acid ——<br><!-- End of picture text -->
<!-- Start of picture text -->
carbonate<br><!-- End of picture text -->
The option that justifies the above stated observation is that ‘X’ is aqueous calcium hydroxide and
- (a) it turns milky due to carbon dioxide gas liberated in the reaction and after sometime it becomes colourless due to formation of calcium carbonate.
- (b) it turns milky due to formation of calcium carbonate and on passing excess of carbon dioxide it becomes colourless due to formation of calcium hydrogen carbonate which is soluble in water.
- (c) it turns milky due to passing of carbon dioxide through it. It turns colourless as on further passing carbon dioxide, sodium hydrogen carbonate is formed which is soluble in water.
- (d) the carbon dioxide liberated during the reaction turns lime water milky due to formation of calcium hydrogen carbonate and after some time it turns colourless due to formation of calcium carbonate which is soluble in water.
5 te
1
<!-- Start of picture text -->
OR<br><!-- End of picture text -->",
CBSE_SCI_2023_Q02_3111Science,2,A,1,MCQ,General Science,False,False,1,2023,"ahr wraiftres cpaeen 4 yt at eh Ses HT HTT \\ \ ols Agee
=<
(a) MS alsee HI Safa feaion & fas ASS STSSTIFATSS HT AT YSIT Seq Bla S | (b) CS asee HT SMa fete & frag CS HTFATSS HT AT FSI Seqa Slee | (c) CS Alsee Hl Baas @ ASH AS SIFISS BIN ASSIS SISSIFHTSS TA & | (d) Gs asec wl sae @ fred Cs atiaerss a aia ATE |",
CBSE_SCI_2023_Q03_3111Science,3,A,1,MCQ,Chemistry,False,True,1,2023,"MnO, +x HCl — MnCl, + y H,O + z Cl, SR Tare att cpl defer HE faw x, y WK 2 4 SM Ufeu wa: (a) 6,2,2 (b) 4,1,2 (c) 4,2,1 (d) 2,2,1
1
<!-- Start of picture text -->
4, Are dae are 4 on fata facet & pH sik srl vepfa (stecfta/amda) & ant 4<br>Bet cts eS | Sa Gh Sr HA a farHes Tet S ?<br>faaea fac pHwa |pHaatecan | facaad<br>a septa<br>cece<br><!-- End of picture text -->
1",
CBSE_SCI_2023_Q05_3111Science,5,A,1,MCQ,General Science,False,False,1,2023,"feret arg x’ ar saan afte warn A frat rat & | Te X Hl ay A Hea Sra @ TY Sa alg Saal StreaTSsS “VY? WTA Sle @ | “X’ SIN “WV? HAT: | : (a) Fe 3k Fe,0, (b) Al sit Al,O, (c) Fe sik Fe,0, (a) Ali Al,O,
31/1/1 = 6
1",
CBSE_SCI_2023_Q02_3111Science,2,A,1,MCQ,Chemistry,False,True,1,2023,"The emission of brown fumes in the given experimental se ~~t-~~ up is due to
1
<!-- Start of picture text -->
aeote &<br><!-- End of picture text -->
- (a) thermal decomposition of lead nitrate which produces brown fumes of nitrogen dioxide.
- (b) thermal decomposition of lead nitrate which produces brown fumes of lead oxide.
- (c) oxidation of lead nitrate forming lead oxide and nitrogen dioxide.
- (d) oxidation of lead nitrate forming lead oxide and oxygen.",
CBSE_SCI_2023_Q03_3111Science,3,A,1,MCQ,Chemistry,False,False,1,2023,"MnO, +x HCl —> MnCl, + y H,O + z Cl, In order to balance the above chemical equation, the values of x, y and z respectively are : (a) 6,2,2 (b) 4,1,2 (c) 4,2,1 (d) 2,2,1",
CBSE_SCI_2023_Q04_3111Science,4,A,1,MCQ,Chemistry,False,True,2,2023,"The table below has information regarding pH and the nature (acidic/basic) of four different solutions. Which one of the options in the table is correct ?
1
1
<!-- Start of picture text -->
pH paper pH value solution<br>Milk of magnesia<br>| © | __Gastricjuice | Red | 6 | Acidic<br><!-- End of picture text -->",
CBSE_SCI_2023_Q05_3111Science,5,A,1,MCQ,Chemistry,False,True,1,2023,"A metal ‘X’ is used in thermite process. When X is burnt in air it gives an amphoteric oxide ‘Y’. ‘X’ and ‘Y’ are respectively : 1 (a) Fe and Fe,O, (b) Aland Al,O, (c) Fe and Fe,O, (d) Aland Al,O, 7 ate P.T.O.
1
###### 31/1/1
<!-- Start of picture text -->
OR<br><!-- End of picture text -->",
CBSE_SCI_2023_Q06_3111Science,6,A,1,MCQ,General Science,False,False,1,2023,"fafafea a **a** terda gar: (a) NaHCO, (b) Na,CO,.5H,O (c) Na,CO,.10H,O (d) NaOH
1",
CBSE_SCI_2023_Q07_3111Science,7,A,1,MCQ,General Science,False,True,1,2023,"fre daft de ah oee ~~-a~~ itei A, Bak C ft acai & fea Hf sik Freafead 4 & aét faenca al hic : 1
<!-- Start of picture text -->
HH<br>CC HK as<br>(A) H~ENc of""“SH (B) H—c C—H<br>H~ C C<br>| | ~H C C<br>H H HH” Nay<br>H<br>C Cc<br>7\<br>H<br><!-- End of picture text -->
(a) ASR C sea d Gtraaa & a BAe | (b) A @eaq oI aaraaa 2, B dai 2 a C eae Sr aaa 2 | (c) A Gde abla Brsgtnree @ Ga B ik C sade aA SISSlHre = | (d) A aigacieaaa @ aa B Sik C asin & aaraaa & | 8. aesa w aisa vert a fares oH aret S He Cal S AN Aa SSH SSMS HU , rH ae ? (a) wer aed, sara (b) Seq westteh, Hrareit (c) Samy, ugsitfeea (d) pam, Ugsiqa
8 ae
1
<!-- Start of picture text -->
coaeoteaeoteote<br><!-- End of picture text -->
- coaeoteaeoteote",
CBSE_SCI_2023_Q06_3111Science,6,A,1,MCQ,Chemistry,False,True,1,2023,"Select washing soda from the following : (a) NaHCO, (b) Na,CO,.5H,O (c) Na,CO,.10H,O (d) NaOH
1
<!-- Start of picture text -->
H H<br><!-- End of picture text -->
<!-- Start of picture text -->
H~C C<br>| |~H C C<br><!-- End of picture text -->
<!-- Start of picture text -->
C C—y<br>HH” \<br>H<br><!-- End of picture text -->
- (b) Ais an isomer of hexane, B is benzene and C is an isomer of hexene.
- (c) A is a saturated cyclic hydrocarbon and B and C are unsaturated cyclic hydrocarbons.
1
- (a) aplant parasite, Cuscuta (b) an animal parasite, Tapeworm
- (c) a bacteria, Rhizobium (d) a fungi, Rhizopus
<a De
1
<!-- Start of picture text -->
2<br><!-- End of picture text -->
- 2",
CBSE_SCI_2023_Q09_3111Science,9,A,1,MCQ,General Science,False,False,1,2023,"si; fe 8 a ce he
- (a) Saat 4 aga At aeers ftra ~~-f~~ ira ald @ sai ae Sah ERI SIU VA aed WT Tele ch WR ae Pe Hee |
- (b) Agra HIST VereIt & YC GT HT LTT S | (c) agia cfat (apa) Sk SERIE A Gra Da Het SI (a) aia cet ger ar ah @ ore fou GAO oe fet Fea As 4 er Hl ora atcd & |",
CBSE_SCI_2023_Q10_3111Science,10,A,1,MCQ,General Science,False,False,1,2023,"freafafad 4 8 oe ea giau at feet Sa & creat ar ae aoa Hee : 1 (a) feet doch otists Al oad a feet fasts ore oe aris fate ofa fora die 2 | (b) fet efit a aida sam & fore fe iS Ga Ga Ae BI (c) ele Tea he sel creas & safer hat ws fa fSra ata z | (d) arat A eet carta cart sftat grr Prafira set ale S
- ll. Fafatea da oe He Gu a eit A aga ofa & few adhe: 1 (a) Fe eat sik ay & see S GT Sl 2 | (b) Fe are eA are Sets Ft fear ae fake seat oat S| (c) Fe thact wei F fears Och 8 aa Fe | (d) aenfa ate & aaftra act e |",
CBSE_SCI_2023_Q12_3111Science,12,A,1,MCQ,General Science,False,False,1,2023,"Prafeatad 4 4 ~~mera~~ Get (Ged SK Sah HTH AMT Hea) HT PAT : 1 (a) safer,oft (b) Sei, TAT (c) Falteite,TAT (d) Jers, 4s
- 31/1/1 10
1
OR 0]",
CBSE_SCI_2023_Q09_3111Science,9,A,1,MCQ,Biology,False,False,1,2023,"Consider the following statements about small intestine and select the one which is ~~NOT~~ correct :
- (a) The length of the small intestine in animals differs as it depends on the type of food they eat.
- (b) The small intestine is the site of complete digestion of food.
- (c) The small intestine receives secretions from liver and pancreas.
- (d) The villi of the small intestine absorb water from the unabsorbed food before it gets removed from the body via the anus.",
CBSE_SCI_2023_Q10_3111Science,10,A,1,MCQ,Biology,False,False,2,2023,"The statement that correctly describes the characteristic(s) of a gene is : 1 (a) In individuals of a given species, a specific gene is located on a particular chromosome.
- (b) A gene is not the information source for making proteins in the cell.
- (c) Each chromosome has only one gene located all along its length.
- (d) All the inherited traits in human beings are not controlled by genes.",
CBSE_SCI_2023_Q11_3111Science,11,A,1,MCQ,Biology,False,False,2,2023,"Select from the following the correct statement about tropic movement in plants :
1
- (a) It is due to stimulus of touch and temperature.
- (b) It does not depend upon the direction of stimulus received.
- (c) It is observed only in roots and not in stems. (d) Itis a growth related movement.",
CBSE_SCI_2023_Q12_3111Science,12,A,1,MCQ,Chemistry,False,True,1,2023,"Select the INCORRECT match (between the plant and its vegetative part) from the following : 1
- (a) Bryophyllum, leaf (b) Potato, stem
- (c) Money- ~~p~~ lant, stem (d) Rose, root
31/1/1 = 11 ae
1
<!-- Start of picture text -->
[alee<br><!-- End of picture text -->
[alee 13. an adaq vices fred ves or ofa 8 QS, Hl vad Aft 4 Gaia feat nae free Fats ar sre watts R, es atk fet Se are 4 Galfer fever @ rae Sats ST wae Tia R, 8, TH SING **<u>R</u>** <u>,e</u> (a) 32 (b) 2 (c) 0.5 (d) 16",
CBSE_SCI_2023_Q14_3111Science,14,A,1,MCQ,General Science,False,True,1,2023,"ate faa aioe 4 15 A UT sya & ARI Hr Soar sa fea afwal & few era @, fSAT (a) Sara whe ssa Sle S VA AST (b) et aes Stare Sle S STH VT | (c) star afters cen Fret afte sarah Sree | (d) stra stefcaes cen fa afth stash See |
1
<!-- Start of picture text -->
4 feu me arte F feet ateesiier & ta we ag aft ferfa ame wat 2 | ateettex<br><!-- End of picture text -->
<!-- Start of picture text -->
1.5<br><!-- End of picture text -->
<!-- Start of picture text -->
Vv<br>(a) 0.15 V3R1.6V (b) 0.05 V3iR1.6V<br><!-- End of picture text -->",
CBSE_SCI_2023_Q16_3111Science,16,A,1,MCQ,General Science,False,True,1,2023,"dan an, a afasa: fara S an fas vel GB als Vareft art I varied Sl at 2, & afta 4 fara fret farg ‘Poe afore seachia ata
- A—————_»——_———-B
1
eP
C—————707— ——D
- (a) sei ferns eter 2 fad era varfad at wat 2 |
- (b) stale sar FT ate Star B | (c) Beene| (d) seatetrea Ht sit sa **r** 2 |
31/1/1 mt 12
<u>R, R.</u> is 1 P
<!-- Start of picture text -->
aeoteote<br><!-- End of picture text -->
## aeoteote &",
CBSE_SCI_2023_Q13_3111Science,13,A,1,MCQ,Physics,False,False,1,2023,"If four identical resistors, of resistance 8 ohm, are first connected in series so as to give an effective resistance R,, and then connected in parallel so
as to give an effective resistance R, then the ratio <u>R.</u> is
(a) 32 (b) 2 (c) 0.5 (d) 16",
CBSE_SCI_2023_Q14_3111Science,14,A,1,MCQ,Physics,False,True,1,2023,"In domestic electric circuits the wiring with 15 A current rating is for the electric devices which have
1
- (a) higher power ratings such as geyser.
- (b) lower power ratings such as fan.
- (c) metallic bodies and low power ratings.
- (d) non ~~-m~~ etallic bodies and low power ratings.
<!-- Start of picture text -->",
